initializing,approximating,computingfulldistances,finalizing,finished,dataset,distance,linkage,strategy
188,1716.0,11180,365,13449,SonyAIBORobotSurface1,kdtw,ward,approx_distance_ascending
174,327.0,1799,296,2596,GunPointOldVersusYoung,msm,weighted,pre_clustering
1641,124495.0,293321,13949,433406,ElectricDevices,sbd,weighted,approx_distance_ascending
542,95.0,402,4,1043,PigCVP,lorentzian,weighted,fcfs
1677,90495.0,294333,10967,397472,ElectricDevices,sbd,complete,approx_distance_ascending
1031,60580.0,12290546,1097,12353254,UWaveGestureLibraryY,kdtw,single,pre_clustering
147,35.0,5,8,195,OliveOil,euclidean,single,fcfs
922,2978.0,14415000,262,14419162,SemgHandSubjectCh2,kdtw,complete,pre_clustering
279,469.0,510,308,1566,Fish,sbd,ward,approx_distance_ascending
163,82.0,65,92,402,ArrowHead,lorentzian,average,approx_distance_ascending
217,331.0,207,56,811,SonyAIBORobotSurface2,lorentzian,complete,fcfs
242,1353.0,1214,289,3098,TwoLeadECG,sbd,average,approx_distance_ascending
562,1100.0,3238012,496,3240170,PigArtPressure,kdtw,complete,fcfs
121,87.0,332,11,551,Chinatown,euclidean,single,pre_clustering
156,4203.0,4504,375,9238,ItalyPowerDemand,kdtw,single,approx_distance_ascending
1515,3208.0,66057,388,71168,Mallat,sbd,weighted,pre_clustering
141,66.0,37,47,291,edeniss20182020_volume_anomalies,lorentzian,complete,approx_distance_ascending
177,440.0,989,245,1851,ProximalPhalanxOutlineAgeGroup,dtw,ward,pre_clustering
229,1151.0,1504,402,3286,SonyAIBORobotSurface2,sbd,average,pre_clustering
613,855.0,333978,262,335708,EOGHorizontalSignal,msm,ward,approx_distance_ascending
195,288.0,372,4,859,Car,sbd,weighted,fcfs
343,758.0,19402,31,20534,CricketX,dtw,ward,fcfs
140,55.0,59,11,265,GunPoint,euclidean,complete,approx_distance_ascending
255,330.0,443,294,1322,SwedishLeaf,euclidean,weighted,approx_distance_ascending
274,2805.0,87998,371,91448,ECGFiveDays,kdtw,ward,approx_distance_ascending
123,37.0,17,4,181,Beef,euclidean,weighted,pre_clustering
176,545.0,145,298,1164,GunPointAgeSpan,sbd,ward,approx_distance_ascending
149,254.0,1076,6,1485,PowerCons,dtw,weighted,fcfs
172,82.0,34,5,293,Trace,lorentzian,weighted,fcfs
915,2934.0,14474014,302,14478165,SemgHandMovementCh2,kdtw,single,pre_clustering
1117,7577.0,69672,507,78873,UWaveGestureLibraryX,sbd,average,fcfs
170,1371.0,11300,462,13303,DistalPhalanxTW,kdtw,average,pre_clustering
250,757.0,3467,213,4687,TwoLeadECG,msm,average,approx_distance_ascending
636,155.0,1252,13,2056,EOGVerticalSignal,euclidean,single,pre_clustering
186,107.0,110,78,481,GunPointAgeSpan,lorentzian,complete,approx_distance_ascending
